id,logFC.x,logCPM.x,PValue.x,FDR.x,RNA-MCF7.x,RNC-MCF7.x,logFC.y,logCPM.y,PValue.y,FDR.y,RNA-MDAMB231.x,RNC-MDAMB231.x,logFC.x.x,logCPM.x.x,PValue.x.x,FDR.x.x,RNA-MCF7.y,RNA-MDAMB231.y,logFC.y.y,logCPM.y.y,PValue.y.y,FDR.y.y,RNC-MCF7.y,RNC-MDAMB231.y,strand,circ_type,gene_id,gene_name,gene_type
chr6:151807843|151944508,3.814733673036052,14.32938901603892,1.227755295749731e-45,2.1792656499557724e-42,71,99,NA,NA,NA,NA,NA,NA,-8.590911521262719,10.983823693020877,4.658405269951887e-10,3.8599923085751683e-8,71,0,-9.16053990554547,14.907959665596975,7.601116228682071e-17,7.981172040116174e-15,99,0,+,exon,ENSG00000091831.24,ESR1,protein_coding
chr3:63912588|63913225,2.821171552763671,14.364727550659047,9.313085519764616e-30,5.510242265860731e-27,133,93,NA,NA,NA,NA,NA,NA,-9.494701597140324,11.773386024399558,2.4234425868338628e-18,4.907471238338573e-16,133,0,-9.070504734217407,14.828067272291308,1.8136141222263035e-15,1.2695298855584124e-13,93,0,+,exon,ENSG00000163635.20,ATXN7,protein_coding
chr14:101999989|102034452,4.756149035727228,13.663239793795976,1.0792106135818562e-36,9.577994195538974e-34,26,70,NA,NA,NA,NA,NA,NA,-7.148065402907026,9.779855376728,1.458358528589781e-4,0.0027599775891535574,26,0,-8.661510349422331,14.468481854430513,5.826105327768968e-12,3.0587052970787086e-10,70,0,+,exon,ENSG00000197102.14,DYNC1H1,protein_coding
chr17:78870898|78873919,3.842760287253316,13.387697478906635,3.237083052773947e-27,1.436455604668439e-24,40,57,NA,NA,NA,NA,NA,NA,-7.765989293892436,10.285359833975173,3.0747256515929514e-6,1.1973691239376398e-4,40,0,-8.36592970253491,14.212153785573337,2.2345283387576717e-10,9.385019022782222e-9,57,0,-,exon,"ENSG00000035862.12,ENSG00000178404.10","TIMP2,CEP295NL","protein_coding,protein_coding"
chr20:47623911|47633636,0.72140631114273,14.107354800168672,0.0070532219035135645,0.15094138990642703,313,51,NA,NA,NA,NA,NA,NA,-10.728287510535838,12.890625182001944,1.5694932673857082e-41,2.442944897287208e-38,313,0,-8.205979408367435,14.07476636282832,5.552542075922495e-9,1.457542294929655e-7,51,0,+,exon,ENSG00000124151.19,NCOA3,protein_coding
chr5:72848385|72855923,3.438707459097094,12.90553110206246,7.300950759383421e-18,2.1598645996509286e-15,39,42,NA,NA,NA,NA,NA,NA,-7.729633355134569,10.25514056299091,5.719820879950893e-6,2.0189308019458285e-4,39,0,-7.926918049531198,13.837470103422362,2.5104914408151684e-7,5.857813361902059e-6,42,0,+,exon,ENSG00000083312.19,TNPO1,protein_coding
chr8:67227447|67240290,4.233782183684147,12.259297141699097,1.5027244712818994e-17,3.8104799093219594e-15,17,32,NA,NA,NA,NA,NA,NA,-6.540463504915457,9.304140045589866,0.006362166540816304,0.050922479229853816,17,0,-7.536452050192154,13.51117510933452,3.0149392293034542e-6,5.276143651281045e-5,32,0,-,exon,ENSG00000066777.9,ARFGEF1,protein_coding
chr17:59075647|59104394,3.5276606701777093,12.328753388505616,3.538692434895907e-14,6.281179071940235e-12,27,31,NA,NA,NA,NA,NA,NA,-7.202136409059056,9.823328399517212,1.458358528589781e-4,0.0027599775891535574,27,0,-7.490899015935113,13.473594474830342,5.782616617918916e-6,9.341149921253634e-5,31,0,-,exon,ENSG00000108395.14,TRIM37,protein_coding
chr19:46918488|46937408,3.2715555903315523,11.990934819860943,2.5280754612381777e-10,3.20523853121269e-8,26,25,NA,NA,NA,NA,NA,NA,-1.5971273441658382,9.967702325711315,0.09332667898444344,0.22816025583704527,26,3,-7.182482478286907,13.222189559936792,7.681710181266624e-5,0.0010082244612912444,25,0,+,exon,ENSG00000160007.19,ARHGAP35,protein_coding
chr1:41575544|41585318,9.86919602149503,11.097029927165332,2.3904899218662524e-10,3.20523853121269e-8,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.932834260469911,13.023014009862509,5.211828308312058e-4,0.003774082568088042,21,0,-,exon,"ENSG00000127124.16,ENSG00000284895.1","HIVEP3,RP11-486B10.5","protein_coding,protein_coding"
chr14:32090502|32094386,1.5789103618746727,12.335243310146208,5.326910076462895e-4,0.021489239513003727,71,21,NA,NA,NA,NA,NA,NA,-8.590911521262719,10.983823693020877,4.658405269951887e-10,3.8599923085751683e-8,71,0,-6.932834260469911,13.023014009862509,5.211828308312058e-4,0.003774082568088042,21,0,+,exon,ENSG00000100852.13,ARHGAP5,protein_coding
chr10:101667886|101676436,2.593347104842428,11.629213174406342,2.8916992548504302e-6,2.3330755351634155e-4,30,18,-5.01774636134617,10.292529348646047,0.2500374981251168,0.8261776683894201,7,0,-0.5975217954588117,10.325136639529976,0.47347509042475927,0.5597122347403022,30,7,-6.712408530317739,12.85086022893885,0.001837170417052933,0.012056430861909873,18,0,-,exon,ENSG00000107829.15,FBXW4,protein_coding
chr2:229777315|229880128,4.790123402893572,10.91663174802438,3.8015767001071155e-9,4.4985324284600865e-7,6,17,NA,NA,NA,NA,NA,NA,-5.06610148349325,8.296024625862628,0.12503749906239778,0.22816025583704527,6,0,-6.630755405533612,12.788063328116799,0.0034274976135480802,0.019453364833651267,17,0,-,exon,ENSG00000153827.14,TRIP12,protein_coding
chr2:73432198|73455295,9.477360577562816,10.534151539368297,6.050434343152583e-8,5.96640053283102e-6,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.5442021871433695,12.72211399157695,0.006362166540816304,0.029044673338509214,16,0,+,exon,ENSG00000116127.20,ALMS1,protein_coding
chr4:150817124|150817257,2.8671626021899015,11.31766449672126,3.5273041769156295e-6,2.6087353808438505e-4,22,16,NA,NA,NA,NA,NA,NA,-6.908905514353634,9.58963811105107,9.804125226623053e-4,0.012808615215426892,22,0,-6.5442021871433695,12.72211399157695,0.006362166540816304,0.029044673338509214,16,0,-,exon,ENSG00000198589.14,LRBA,protein_coding
chr2:148771044|148771387,0.8620209430185054,12.30057260355251,0.08696294929712013,0.6485682142957488,89,16,NA,NA,NA,NA,NA,NA,-8.916140914604522,11.265162706100908,5.201125115589723e-13,7.021518906046127e-11,89,0,-6.5442021871433695,12.72211399157695,0.006362166540816304,0.029044673338509214,16,0,+,exon,ENSG00000135999.12,EPC2,protein_coding
chr17:59910562|59914703,3.228092534460012,11.073424121646426,8.8226735331061e-7,7.457259772030156e-5,16,15,NA,NA,NA,NA,NA,NA,-6.453969015313508,9.238634097495494,0.011740242966869303,0.07226137388422595,16,0,-6.45212299581428,12.652682207589104,0.006362166540816304,0.029044673338509214,15,0,+,exon,"ENSG00000241913.1,ENSG00000108443.14","RPS29P21,RPS6KB1","processed_pseudogene,protein_coding"
chr12:46229153|46243314,-0.09341145192523818,12.805138910370282,0.9206089975898476,1,162,15,-5.890129627803931,10.891697374383158,0.21882030546932954,0.8261776683894201,13,0,-2.136364069325037,12.23779924962556,1.1758568211002712e-9,9.158115625877112e-8,162,13,-6.45212299581428,12.652682207589104,0.006362166540816304,0.029044673338509214,15,0,-,exon,"ENSG00000111371.16,ENSG00000274591.1","SLC38A1,RP11-474P2.5","protein_coding,lncRNA"
